0.7627,0.0950
1.2823,0.0000
1.3267,0.9555
1.5913,0.0001
1.7262,0.0000
1.9346,0.0000
1.9469,0.0000
1.9753,0.0000
2.0752,0.0082
2.0786,0.0000
2.1075,0.0001
2.1081,0.0002
2.2092,0.0067
2.2206,0.0000
2.2911,0.0374
2.3153,0.0000
2.4951,0.0327
2.5299,0.0000
2.6176,0.0000
2.6957,0.0000
2.6990,0.0266
2.7313,0.0525
2.7709,0.0014
2.7858,0.0000
2.8633,0.0065
2.9255,0.0000
2.9643,0.0019
3.0455,0.0000
3.2088,0.0000
3.2104,0.0023
3.2130,0.0000
3.2513,0.0000
3.2934,0.0000
3.3106,0.0000
3.3438,0.0003
3.3444,0.0002
3.3962,0.0000
3.4325,0.0000
3.4517,0.0000
3.4711,0.0191
3.5077,0.0000
3.5106,0.0000
3.5174,0.0173
3.5208,0.0000
3.5221,0.0000
3.5271,0.0000
3.5864,0.0000
3.6418,0.0000
3.6420,0.0000
3.6662,0.0002
3.6665,0.0000
3.6669,0.0001
3.6880,0.0308
3.6907,0.0001
3.7051,0.0187
3.7131,0.0000
3.7144,0.0000
3.7198,0.0000
3.7450,0.0211
3.7628,0.0000
3.7768,0.0016
3.8228,0.0000
3.8356,0.0628
3.8404,0.0001
3.8572,0.0000
3.8692,0.0430
3.8868,0.0000
3.9298,0.0000
3.9470,0.0000
3.9520,0.0330
4.0168,0.0000
4.0253,0.0551
4.0309,0.0000
4.0630,0.0000
4.0712,0.0018
4.0722,0.0001
4.0938,0.0000
4.1104,0.0674
4.1436,0.0446
4.1479,0.0000
4.1575,0.0000
4.1598,0.0000
4.1979,0.0218
4.2052,0.0000
4.2095,0.0001
4.2102,0.0004
4.2563,0.0020
4.2599,0.0000
4.2606,0.0001
4.3293,0.0000
